,Номер_в_госреестре,Наименование_СИ,Единица_измерения_СИ,Модификация_СИ,Тип_СИ,Погрешность_СИ,Дата_утверждения_типа_СИ,Производитель_СИ,Дата_поверки_СИ,Наименование_файла_с_описанием
284,68997-17,Сигнализаторы загазованности комбинированные,,-,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2020-10-07T00:00:00Z,2017-68997-17.pdf
285,53258-13,Весы неавтоматического действия,,MЕ3002,ME/TLE/JE,,,"Фирма ""Mettler-Toledo Instruments (Shanghai) Co., Ltd."", Китай",2020-10-07T00:00:00Z,2013-53258-13.pdf
286,56796-14,Весы неавтоматического действия,,"HT ,мод.НТ3000","HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-10-07T00:00:00Z,2014-56796-14.pdf
287,48026-11,Весы лабораторные,,"ВК, мод. ВК-600.1",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-07T00:00:00Z,2021-48026-11.pdf
288,56684-14,Весы неавтоматического действия,,XSE205DU,X,,,"Фирма ""Mettler-Toledo AG"", Швейцария",2020-10-07T00:00:00Z,2014-56684-14.pdf
289,32358-11,Амперметры и вольтметры цифровые щитовые,,"3020 , исп. СВ3020",3020,,,"ООО предприятие ""ЗИП-Научприбор"", г.Краснодар",2020-10-07T00:00:00Z,2016-32358-11.pdf
290,56684-14,Весы неавтоматического действия,,"X, мод.XPE205DR",X,,,"Фирма ""Mettler-Toledo AG"", Швейцария",2020-10-08T00:00:00Z,2014-56684-14.pdf
291,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,CE101 R5 145 M6,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-10-08T00:00:00Z,2018-30939-13.pdf
292,48026-11,Весы лабораторные,,мод. ВК-3000.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-08T00:00:00Z,2021-48026-11.pdf
293,32475-11,Термометры биметаллические,,MANOTHERM,T,,,"Фирма ""Manotherm Beierfeld GmbH"", Германия",2020-10-08T00:00:00Z,2016-32475-11.pdf
294,48026-11,Весы лабораторные,,"ВК, мод. ВК-600",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-08T00:00:00Z,2021-48026-11.pdf
295,72200-18,Машины для испытаний материалов универсальные,,Tiratest 2300,Tiratest,,,"ООО ""Тестсистемы"", г.Иваново",2020-10-08T00:00:00Z,2018-72200-18.pdf
296,70742-18,Шаблоны сварщика универсальные,,мод.УШС-3,УШС-3,,,"ООО НТЦ ""Эксперт"", г.Москва",2020-10-08T00:00:00Z,2018-70742-18.pdf
297,64188-16,Индикаторы,,ИЧ и ИЧЦ,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-10-08T00:00:00Z,2016-64188-16.pdf
298,49010-12,Счетчики электрической энергии трехфазные статические,,"РиМ 489.03,","РиМ 489.03, РиМ 489.04, РиМ 489.05, РиМ 489.06",,,"ЗАО ""Радио и Микроэлектроника"" (РиМ), г.Новосибирск",2020-10-08T00:00:00Z,2012-49010-12.pdf
299,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,CE101 R5.1 145,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-10-08T00:00:00Z,2018-30939-13.pdf
300,46512-11,Измерители длины материалов,,мод. ИДМ-65ПВР,"ИДМ мод. ИДМ-20, ИДМ-30, ИДМ-65ПВВР, ИДМ-65ПВР, ИДМ-120",,,"ООО ""СМОЛ ЛТД"", г.С.-Петербург",2020-10-08T00:00:00Z,2016-46512-11.pdf
301,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,CE101 R5 145,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-10-08T00:00:00Z,2018-30939-13.pdf
302,57709-14,"Штангенциркули торговой марки ""Калиброн""",,двусторонний с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-08T00:00:00Z,2014-57709-14.pdf
303,72200-18,Машины для испытаний материалов универсальные,,Tiratest 2200,Tiratest,,,"ООО ""Тестсистемы"", г.Иваново",2020-10-08T00:00:00Z,2018-72200-18.pdf
304,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,CE101 R5.1 145 M6,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-10-08T00:00:00Z,2018-30939-13.pdf
305,53258-13,Весы неавтоматического действия,,МЕ-204,ME/TLE/JE,,,"Фирма ""Mettler-Toledo Instruments (Shanghai) Co., Ltd."", Китай",2020-10-09T00:00:00Z,2013-53258-13.pdf
306,53565-13,Генераторы сигналов произвольной формы,,33519B,"33509В, 33510В, 33511В, 33512В, 33519В, 33520В, 33521В, 33522В",,,"Фирма ""Agilent Technologies"", Малайзия",2020-10-09T00:00:00Z,2013-53565-13.pdf
307,1054-08,Меры твердости эталонные,,МТР,МТР,,,"ОАО ""Точприбор"", г.Иваново",2020-10-09T00:00:00Z,2008-01054-08.pdf
308,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,4HO22 KT2,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-10-09T00:00:00Z,2011-21163-11.pdf
309,57709-14,"Штангенциркули торговой марки ""Калиброн""",,«Калиброн» с цифровым отсчетным двусторонний с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-09T00:00:00Z,2014-57709-14.pdf
310,77238-20,Меры сопротивлений петли короткого замыкания многозначные,,ММС-1,"ММС-01, ММС-1",,,"ООО ""СОНЭЛ"", дер.Григорчиково",2020-10-09T00:00:00Z,2020-77238-20.pdf
311,71339-18,Приборы для измерения артериального давления и частоты пульса,,PRO-36,"А-21, А-23, PRO-30, PRO-33, PRO-35, PRO-36, MED-51, MED-53, MED-55, А-27, PRO-39, MED-57, MED-59",,,"Фирма ""B.Well Swiss AG"", Швейцария; Фирма ""Globalcare Medical Technology Co., Ltd."", Китай",2020-10-09T00:00:00Z,2019-71339-18.pdf
312,56796-14,Весы неавтоматического действия,,HL-200i,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-10-09T00:00:00Z,2014-56796-14.pdf
313,49173-12,Аппаратура геодезическая спутниковая,,-,Trimble R3,,,"Фирма ""Trimble Navigation Ltd."", США",2020-10-09T00:00:00Z,2012-49173-12.pdf
314,27461-09,Анализаторы гематологические,,-,KX-21N,,,"Фирма ""Sysmex Corporation"", Япония",2020-10-09T00:00:00Z,2009-27461-09.pdf
315,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Нет модификации,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-09T00:00:00Z,2008-27361-04.pdf
316,57709-14,"Штангенциркули торговой марки ""Калиброн""",,«Калиброн» с отсчетом по нониусу двусторонний без глубиномера,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-09T00:00:00Z,2014-57709-14.pdf
317,30939-13,Счетчики однофазные однотарифные активной электроэнергии,,СЕ 101,СЕ 101,,,"АО ""Электротехнические заводы ""Энергомера"", г.Ставрополь",2020-10-09T00:00:00Z,2018-30939-13.pdf
318,52095-12,Тепловизоры инфракрасные,,модели Ti105,"Fluke мод. Ti100, Ti105, Ti110, Ti125, TiR105, TiR110, TiR125",,,"Фирма ""Fluke Corporation"", США",2020-10-09T00:00:00Z,2012-52095-12.pdf
319,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВ 3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-09T00:00:00Z,2008-27361-04.pdf
320,63041-16,Анализаторы хроматографические автоматические,,ACA-LIGA,ACA-LIGA,,,"ОАО ""Лига"", г.Саратов",2020-10-09T00:00:00Z,2016-63041-16.pdf
321,43616-10,Тахеометры электронные,,5 MW,"Nikon Nivo 1.C, Nikon Nivo 2.C, Nikon Nivo 2.M, Nikon Nivo 3.C, Nikon Nivo 3.M, Nikon Nivo 5.C, Nikon Nivo 5.M, Nikon Nivo 5.MW",,,"Фирма ""Trimble Navigation Ltd."", США",2020-10-09T00:00:00Z,2015-43616-10.pdf
322,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ 90-3/,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-09T00:00:00Z,2008-27361-04.pdf
323,17401-98,Измерители напряженности электростатического поля,,ЭСПИ-301,ЭСПИ-301,,,"ООО НПП ""Омега Инжениринг"", г.Москва",2020-10-09T00:00:00Z,2017-17401-98.pdf
324,24204-03,Комплекты термопреобразователей сопротивления платиновых,,-,КТСПТВХ-В,,,"ООО НПП ""Тепловодохран"", г.Рязань",2020-10-10T00:00:00Z,2017-24204-03.pdf
325,79346-20,Расходомеры массовые,,мод. ST100L,Нет данных,,,"Фирма ""Fluid Components International LLC (FCI)"", США",2020-10-12T00:00:00Z,2020-79346-20.pdf
326,79346-20,Расходомеры массовые,,мод. ST51,Нет данных,,,"Фирма ""Fluid Components International LLC (FCI)"", США",2020-10-12T00:00:00Z,2020-79346-20.pdf
327,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Счетчик скоростной крыльчатый горячей воды СКВГ90,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-12T00:00:00Z,2008-27361-04.pdf
328,48026-11,Весы лабораторные,,мод. ВК-3000,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-12T00:00:00Z,2021-48026-11.pdf
329,48026-11,Весы лабораторные,,"ВК, мод. ВК-3000",ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-12T00:00:00Z,2021-48026-11.pdf
330,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,Владимир СКВГ,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-12T00:00:00Z,2008-27361-04.pdf
331,79346-20,Расходомеры массовые,,мод. ST50,Нет данных,,,"Фирма ""Fluid Components International LLC (FCI)"", США",2020-10-12T00:00:00Z,2020-79346-20.pdf
332,79346-20,Расходомеры массовые,,мод. ST100,Нет данных,,,"Фирма ""Fluid Components International LLC (FCI)"", США",2020-10-12T00:00:00Z,2020-79346-20.pdf
333,48026-11,Весы лабораторные,,BK-3000.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-12T00:00:00Z,2021-48026-11.pdf
334,57709-14,"Штангенциркули торговой марки ""Калиброн""",,С отсчетом по нониусу двусторонний с глубиномером,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-12T00:00:00Z,2014-57709-14.pdf
335,55585-13,Измерители иммитанса,,Нет модификации,"ПрофКИП Е7-14М, ПрофКИП Е7-20М, ПрофКИП Е7-23М, ПрофКИП Е7-24М, ПрофКИП Е7-25М",,,"ЗАО ""ПрофКИП"", г.Мытищи",2020-10-12T00:00:00Z,2018-55585-13.pdf
336,52456-13,Электрокардиографы,,FX-8222,"CardiMax, исп. FX-8222, FX-8322, FX-8322R",,,"Фирма ""Fukuda Denshi Co., Ltd."", Япония",2020-10-12T00:00:00Z,2013-52456-13.pdf
337,77293-20,"Кольца торговой марки ""КАЛИБР""",,-,Нет данных,,,"ООО Южно-Уральский Инструментальный Завод ""КАЛИБР"", г.Челябинск",2020-10-12T00:00:00Z,2020-77293-20.pdf
338,64188-16,Индикаторы,,"ИЧ , обозначение ИЧ-10",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-10-12T00:00:00Z,2016-64188-16.pdf
339,64199-16,Тепловычислители,,СПТ944,СПТ944,,,"АО ""НПФ ""Логика"", г.С.-Петербург",2020-10-12T00:00:00Z,2016-64199-16-2.pdf
340,74507-19,Измерители сопротивления изоляции,,МЕГЕОН-13200,МЕГЕОН,,,"Компания ""ARCO Electronics Ltd."", Китай",2020-10-13T00:00:00Z,2019-74507-19.pdf
341,56796-14,Весы неавтоматического действия,,"HL, мод. HL-3000WP","HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-10-13T00:00:00Z,2014-56796-14.pdf
342,22850-11,Дозиметры индивидуальные рентгеновского и гамма-излучений,,ДКГ-РМ1621А,ДКГ-РМ1621,,,"ООО ""Полимастер"", Беларусь, г.Минск",2020-10-13T00:00:00Z,2011-22850-11.pdf
343,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"""Калиброн"" с цифровым отсчетным устройством двусторонний с глубиномером",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-13T00:00:00Z,2014-57709-14.pdf
344,21250-10,Колонки топливораздаточные,,7421,Нара 7000,,,"ЗАО ""Нара"", г.Серпухов",2020-10-13T00:00:00Z,2010-21250-10.pdf
345,61877-15,Теплосчетчики,,sanext серии М,Sanext серии М,,,"Фирма ""Zhejiang Joy Electronic Technology Co., Ltd. Company"", Китай",2020-10-13T00:00:00Z,2015-61877-15.pdf
346,23377-07,Измерители удельной электрической проводимости вихретоковые,,нет,ВЭ-27НЦ,,,"ООО НПП ""Сигма"", г.Екатеринбург",2020-10-13T00:00:00Z,2017-23377-07.pdf
347,64188-16,Индикаторы,,"ИЧ, мод. ИЧ-3",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-10-13T00:00:00Z,2016-64188-16.pdf
348,57709-14,"Штангенциркули торговой марки ""Калиброн""",,односторонний,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-13T00:00:00Z,2014-57709-14.pdf
349,48026-11,Весы лабораторные,,мод. ВК-300.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-13T00:00:00Z,2021-48026-11.pdf
350,24204-03,Комплекты термопреобразователей сопротивления платиновых,,КТСПТВХ-В,КТСПТВХ-В,,,"ООО НПП ""Тепловодохран"", г.Рязань",2020-10-13T00:00:00Z,2017-24204-03.pdf
351,57709-14,"Штангенциркули торговой марки ""Калиброн""",,(0-250) мм,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-13T00:00:00Z,2014-57709-14.pdf
352,48026-11,Весы лабораторные,,модификация ВК-300.1,ВК,,,"Акционерное общество «МАССА-К» (АО «МАССА-К»),г. Санкт-Петербург",2020-10-13T00:00:00Z,2021-48026-11.pdf
353,21720-11,Омметры,,ЭС0212,ЭС0212,,,"ПАО ""Уманский завод ""Мегомметр"", Украина, г.Умань",2020-10-13T00:00:00Z,2011-21720-11.pdf
354,38452-08,Вибропреобразователи эталонные пьезоэлектрические,,Нет модификации,АР10,,,"ООО ""ГлобалТест"", г.Саров",2020-10-14T00:00:00Z,2018-38452-08.pdf
355,57709-14,"Штангенциркули торговой марки ""Калиброн""",,С отсчетом по нониусу односторонний,Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-14T00:00:00Z,2014-57709-14.pdf
356,64188-16,Индикаторы,,"ИЧ, мод. ИЧ-10",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-10-14T00:00:00Z,2016-64188-16.pdf
357,35950-07,Магнитометры трехкомпонентные малогабаритные,,МТМ-01,МТМ-01,,,"ООО ""НТМ-Защита"", г.Москва",2020-10-14T00:00:00Z,2017-35950-07.pdf
358,56796-14,Весы неавтоматического действия,,НТ-500,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-10-14T00:00:00Z,2014-56796-14.pdf
359,56796-14,Весы неавтоматического действия,,НТ-300,"HL, HT",,,"Фирма ""A&D Company Ltd."", Япония; Фирма ""A&D Electronics (Shenzhen) Co., Ltd."", Китай; Фирма ""A&D SCALES CO., Ltd."", Корея",2020-10-14T00:00:00Z,2014-56796-14.pdf
360,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"(от 0 до 250)-0,05 мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-14T00:00:00Z,2014-57709-14.pdf
361,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,нет,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-14T00:00:00Z,2008-27361-04.pdf
362,69363-17,Газоанализаторы портативные,,Dr?ger X-am 2500 тип MQG 0011,Drager X-am 2500 тип MQG 0011,,,"Фирма ""Drager Safety AG & Co. KGaA"", Германия",2020-10-14T00:00:00Z,2017-69363-17.pdf
363,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"ШЦ-I-250-0,05",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-14T00:00:00Z,2014-57709-14.pdf
364,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,набор № 22,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-10-14T00:00:00Z,2011-21163-11.pdf
365,61877-15,Теплосчетчики,,Sanext серии М ДУ 15,Sanext серии М,,,"Фирма ""Zhejiang Joy Electronic Technology Co., Ltd. Company"", Китай",2020-10-14T00:00:00Z,2015-61877-15.pdf
366,57709-14,"Штангенциркули торговой марки ""Калиброн""",,"Штангенциркуль торговой марки ""Калиброн"" с отсчетом по нониусу одностороннмй (0-400; 0,05) мм",Нет данных,,,"Фирма ""Guilin Measuring & Cutting Tool Co. Ltd."", Китай",2020-10-15T00:00:00Z,2014-57709-14.pdf
367,34127-07,pH-метры,,Нет модификации,ЭКСПЕРТ-pH,,,"ООО ""Эконикс-Эксперт"", г.Москва",2020-10-15T00:00:00Z,2018-34127-07.pdf
368,51560-12,Устройства для воспроизведения параметров катодной защиты,,нет модификации,Тверца-3000,,,"ООО ""Электронные технологии"" (ЭЛТЕХ), г.Тверь",2020-10-15T00:00:00Z,2012-51560-12.pdf
369,21250-10,Колонки топливораздаточные,,НАРА 7321,Нара 7000,,,"ЗАО ""Нара"", г.Серпухов",2020-10-15T00:00:00Z,2010-21250-10.pdf
370,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СКВГ90-3/1,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-15T00:00:00Z,2008-27361-04.pdf
371,46512-11,Измерители длины материалов,,ИДМ-65 ПВР,"ИДМ мод. ИДМ-20, ИДМ-30, ИДМ-65ПВВР, ИДМ-65ПВР, ИДМ-120",,,"ООО ""СМОЛ ЛТД"", г.С.-Петербург",2020-10-15T00:00:00Z,2016-46512-11.pdf
372,64188-16,Индикаторы,,"ИЧ 10 (ц.д. 0,01 мм)",ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2020-10-15T00:00:00Z,2016-64188-16.pdf
373,54151-13,Газосигнализаторы,,исполнение СЕНС СГ,СЕНС СГ,,,"ООО НПП ""Сенсор"", г.Заречный",2020-10-15T00:00:00Z,2013-54151-13.pdf
374,46659-11,Клещи электроизмерительные,,APPA A6DR,"APPA A6, APPA A6D, APPA A6DR, APPA A7A, APPA A7D, APPA A9, APPA A10N",,,"Фирма ""APPA Technology Corporation"", Тайвань",2020-10-15T00:00:00Z,2016-46659-11.pdf
375,61703-15,Измерители артериального давления и частоты пульса автоматические,,711 (HEM-8712-CM2),"OMRON: M6 (HEM-7322-ALRU), 711 (HEM-8712-CM2), 717 (HEM-8712-CM), 737 (HEM-8713-CM)",,,"Фирма ""Omron Healthcare Co., Ltd."", Япония; Фирма ""Omron Dalian Co., Ltd."", Китай; Фирма ""Omron Healthcare Manufacturing Vietnam Co., Ltd."", Вьетнам",2020-10-15T00:00:00Z,2017-61703-15.pdf
376,61703-15,Измерители артериального давления и частоты пульса автоматические,,М6,"OMRON: M6 (HEM-7322-ALRU), 711 (HEM-8712-CM2), 717 (HEM-8712-CM), 737 (HEM-8713-CM)",,,"Фирма ""Omron Healthcare Co., Ltd."", Япония; Фирма ""Omron Dalian Co., Ltd."", Китай; Фирма ""Omron Healthcare Manufacturing Vietnam Co., Ltd."", Вьетнам",2020-10-15T00:00:00Z,2017-61703-15.pdf
377,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СВК-15-3-2,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2020-10-16T00:00:00Z,2008-27361-04.pdf
378,21163-11,"Меры длины концевые плоскопараллельные. Наборы № 8, 9, 22, 23, 24 классов точности 1, 2, 3 с номинальным значением длины до 1000 мм",,набор № 8,Нет данных,,,"ООО ""Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2020-10-26T00:00:00Z,2011-21163-11.pdf
379,69357-17,Комплекты мер для поверки приборов,,мера отклонения от круглости,MarForm,,,"Фирма ""Mahr GmbH"", Германия",2020-10-29T00:00:00Z,2017-69357-17.pdf
380,69357-17,Комплекты мер для поверки приборов,,Эталонная мера отклонений от плоскостности,MarForm,,,"Фирма ""Mahr GmbH"", Германия",2020-11-18T00:00:00Z,2017-69357-17.pdf
381,54757-13,Меры-имитаторы,,Мера-имитатор Р40116М,Р40116М,,,"АО ""MICRON"", Молдова, г.Кишинев",2020-12-01T00:00:00Z,2018-54757-13.pdf
382,53105-13,Машины координатно-измерительные мобильные,,Faro Prime,FARO Prime,,,"Фирма ""FARO Swiss Holding GmbH"", Швейцария",2020-12-14T00:00:00Z,2013-53105-13.pdf
383,64188-16,Индикаторы,,ИЧ 10 КТ1,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-01-18T00:00:00Z,2016-64188-16.pdf
384,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,ИЧ 2,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-01-21T00:00:00Z,2016-64541-16.pdf
385,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,ИЧ 25,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-01-21T00:00:00Z,2016-64541-16.pdf
386,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,ИЧ 10,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-01-21T00:00:00Z,2016-64541-16.pdf
387,59942-15,Газоанализаторы стационарные оптические,,СГОЭС-2-пропан,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-02-11T00:00:00Z,2019-59942-15.pdf
388,27361-04,Счетчики скоростные крыльчатые холодной и горячей воды,,СВКГ90-3/15,СКВ / СКВГ90 / СКВГ90-ГК / СКВГ150-ГК,,,"ОАО ""ВПО ""Точмаш"", г.Владимир",2021-02-15T00:00:00Z,2008-27361-04.pdf
389,24605-13,Установки динамические,,Микрогаз-Ф13,Микрогаз-Ф,,,"Акционерное общество «ИНТЕРА» (АО «ИНТЕРА»), г. Москва",2021-02-17T00:00:00Z,2021-24605-13-1.pdf
390,64188-16,Индикаторы,,ИЧ 03 КТ1,ИЧ и ИЧЦ,,,"ООО НПП ""Челябинский инструментальный завод"", г.Челябинск",2021-04-20T00:00:00Z,2016-64188-16.pdf
391,59942-15,Газоанализаторы стационарные оптические,,мод. СГОЭС-2,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-05-26T00:00:00Z,2019-59942-15.pdf
392,54473-13,Измерители давления,,АДМ-100,АДМ,,,"ЗАО ""КБ ""АГАВА"", г.Екатеринбург",2021-05-31T00:00:00Z,2013-54473-13.pdf
393,67164-17,Вычислители количества теплоты,,ВКТ-7М-02,ВКТ-7М,,,"ООО ""ИВТ"", г.С.-Петербург",2021-06-01T00:00:00Z,2017-67164-17-1.pdf
394,59942-15,Газоанализаторы стационарные оптические,,СГОЭС-2,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-06-01T00:00:00Z,2019-59942-15.pdf
395,59942-15,Газоанализаторы стационарные оптические,,сгоэс-2,"СГОЭС мод. СГОЭС-2, СГОЭС-М-2, СГОЭС-М11-2",,,"АО ""Электронстандарт-Прибор"", г.С.-Петербург",2021-06-01T00:00:00Z,2019-59942-15.pdf
396,75708-19,Установки поверочные,,"ТЕСТ-РС-0045-0,030-B-C-OP-000-10/30",ТЕСТ-РС,,,"ООО ""ЛогоМасс"", г.Киров",2021-06-02T00:00:00Z,2019-75708-19.pdf
397,78097-20,"Система автоматизированная информационно-измерительная коммерческого учета электроэнергии (АИИС КУЭ) Первомайской ТЭЦ (ТЭЦ-14) филиала ""Невский"" ПАО ""ТГК-1""",,нет данных, ,,,"ООО ""Энергосервис"", г.С.-Петербург",2021-06-23T00:00:00Z,2020-78097-20.pdf
398,68997-17,Сигнализаторы загазованности комбинированные,,RGD СО0 MP1,RGDCO0MP1,,,"Фирма ""Seitron S.p.A."", Италия",2021-06-25T00:00:00Z,2017-68997-17.pdf
399,66668-17,Микротвердомеры,,МЕТОЛАБ 501,"Метолаб 501, Метолаб 502",,,"ООО ""МЕТОЛАБ"", г.Москва",2021-06-28T00:00:00Z,2017-66668-17.pdf
400,64199-16,Тепловычислители,,СПТ-944,СПТ944,,,"АО ""НПФ ""Логика"", г.С.-Петербург",2021-06-30T00:00:00Z,2016-64199-16-2.pdf
401,67373-17,Вычислители количества теплоты,,"ВКТ-9,мод. ВКТ-9-02",ВКТ-9,,,"ООО ""ИВТ"", г.С.-Петербург",2021-07-02T00:00:00Z,2017-67373-17-1.pdf
402,49771-12,Влагомеры,,AGS 200,AGS,,,"Фирма ""AXIS"", Sp. z.o.o., Польша",2021-07-02T00:00:00Z,2017-49771-12.pdf
403,64541-16,"Индикаторы часового типа с ценой деления 0,01 мм",,ИЧ 5,Нет данных,,,"АО Кировский завод ""Красный инструментальщик"" (Крин), г.Киров",2021-07-06T00:00:00Z,2016-64541-16.pdf
404,42736-09,Клещи токовые,,АТА-2500,"ATA-2500, ATA-2502, ATK-2025, ATK-2102, ATK-2103, ATK-2105, ATK-2208",,,"Фирма ""Lutron Electronic Enterprise Co. Ltd."", Тайвань",2021-07-07T00:00:00Z,2019-42736-09.pdf
